departure,arrival
05:11,05:17
05:23,05:28
05:38,05:44
05:53,05:58
06:06,06:11
06:19,06:24
06:27,06:33
06:36,06:42
06:47,06:52
06:52,06:57
06:57,07:03
07:04,07:09
07:11,07:16
07:17,07:23
07:24,07:30
07:31,07:36
07:35,07:41
07:41,07:47
07:46,07:52
07:51,07:57
07:55,08:01
07:59,08:06
08:03,08:09
08:08,08:14
08:12,08:18
08:15,08:21
08:18,08:24
08:21,08:27
08:24,08:31
08:28,08:34
08:31,08:38
08:34,08:40
08:37,08:44
08:40,08:47
08:44,08:50
08:47,08:53
08:51,08:57
08:54,09:01
08:58,09:04
09:02,09:08
09:05,09:11
09:08,09:14
09:12,09:18
09:17,09:23
09:21,09:28
09:25,09:31
09:30,09:36
09:35,09:41
09:41,09:47
09:45,09:51
09:51,09:57
09:56,10:02
10:01,10:07
10:07,10:13
10:13,10:19
10:19,10:25
10:25,10:31
10:31,10:37
10:38,10:43
10:44,10:49
10:50,10:55
10:56,11:01
11:02,11:07
11:08,11:13
11:14,11:19
11:20,11:25
11:26,11:31
11:32,11:37
11:38,11:43
11:44,11:49
11:50,11:55
11:56,12:01
12:02,12:07
12:08,12:13
12:14,12:19
12:20,12:25
12:26,12:31
12:32,12:37
12:38,12:43
12:44,12:49
12:50,12:55
12:56,13:01
13:02,13:07
13:08,13:13
13:14,13:19
13:20,13:25
13:26,13:31
13:32,13:37
13:38,13:43
13:44,13:49
13:50,13:55
13:56,14:01
14:02,14:07
14:08,14:13
14:14,14:19
14:20,14:25
14:26,14:31
14:32,14:37
14:38,14:43
14:44,14:49
14:50,14:55
14:56,15:01
15:02,15:07
15:08,15:13
15:14,15:19
15:20,15:25
15:26,15:31
15:32,15:37
15:38,15:43
15:44,15:49
15:50,15:55
15:56,16:01
16:02,16:07
16:08,16:13
16:14,16:19
16:20,16:25
16:26,16:31
16:32,16:37
16:38,16:43
16:44,16:49
16:50,16:55
16:56,17:01
17:00,17:06
17:06,17:12
17:12,17:18
17:18,17:24
17:24,17:29
17:30,17:36
17:36,17:41
17:41,17:47
17:47,17:53
17:50,17:56
17:54,18:00
17:59,18:05
18:05,18:10
18:09,18:15
18:15,18:21
18:20,18:26
18:26,18:31
18:30,18:36
18:35,18:41
18:40,18:46
18:45,18:51
18:50,18:56
18:55,19:01
19:00,19:06
19:05,19:11
19:10,19:16
19:13,19:19
19:16,19:22
19:22,19:28
19:28,19:34
19:35,19:40
19:41,19:47
19:47,19:52
19:54,19:59
20:00,20:05
20:06,20:11
20:11,20:16
20:17,20:22
20:22,20:28
20:29,20:34
20:36,20:41
20:42,20:47
20:48,20:53
20:54,20:59
21:00,21:06
21:07,21:12
21:14,21:20
21:22,21:27
21:29,21:34
21:36,21:41
21:42,21:48
21:49,21:55
21:57,22:03
22:05,22:11
22:15,22:20
22:23,22:28
22:29,22:35
22:36,22:41
22:43,22:48
22:50,22:55
22:57,23:02
23:04,23:09
23:11,23:17
23:16,23:22
23:23,23:29
23:31,23:36
23:38,23:44
23:45,23:50
23:54,23:59
00:01,00:07
00:10,00:15
00:16,00:21
00:21,00:27
