departure,arrival
05:27,06:19
05:48,06:42
06:04,06:58
06:18,07:12
06:36,07:27
06:47,07:46
07:00,07:55
07:16,08:08
07:28,08:21
07:38,08:31
07:49,08:42
07:56,08:49
08:06,08:58
08:16,09:09
08:37,09:28
08:41,09:33
08:53,09:45
09:03,10:04
09:15,10:09
09:30,10:24
09:46,10:39
10:07,11:00
10:15,11:06
10:28,11:24
10:42,11:34
10:57,11:54
11:11,12:03
11:26,12:24
11:39,12:33
11:56,12:54
12:11,13:04
12:26,13:24
12:39,13:33
12:56,13:54
13:11,14:03
13:26,14:24
13:39,14:33
13:57,14:54
14:11,15:03
14:26,15:20
14:39,15:32
14:57,15:54
15:11,16:02
15:27,16:21
15:39,16:32
15:57,16:53
16:06,17:02
16:14,17:09
16:26,17:21
16:36,17:29
16:45,17:41
16:57,17:51
17:06,18:02
17:16,18:13
17:29,18:27
17:41,18:40
17:56,18:53
18:05,19:01
18:13,19:07
18:18,19:16
18:29,19:24
18:41,19:35
18:48,19:45
19:08,20:00
19:18,20:10
19:27,20:18
19:33,20:26
19:40,20:34
19:46,20:45
19:58,20:54
20:11,21:05
20:20,21:12
20:30,21:22
20:41,21:34
20:51,21:48
21:07,21:58
21:16,22:07
21:26,22:20
21:43,22:35
21:59,22:52
22:11,23:03
22:21,23:16
22:35,23:31
22:51,23:43
23:07,00:01
23:38,00:31
